Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.27     18.91    18.91                             _init
  0.57     84.22     0.70 754793740     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, basic_block*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.56     84.91     0.69 785885210     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned long const, jit_asm_instruction*> >::_M_ptr() const
  0.55     85.59     0.68 785885210     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_S_key(std::_Rb_tree_node<std::pair<unsigned long const, jit_asm_instruction*> > const*)
  0.53     86.25     0.66 583465773     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  0.53     86.91     0.66 583465773     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  0.51     87.55     0.64 279880093     0.00     0.00  std::_Optional_base<pt_instruction, true, true>::_Optional_base<pt_instruction, false>(std::in_place_t, pt_instruction&&)
  0.51     88.17     0.63 569460783     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_S_left(std::_Rb_tree_node_base*)
  0.50     88.80     0.62 279880093     0.00     0.00  std::optional<pt_instruction>::optional<pt_instruction, true>(pt_instruction&&)
  0.48     89.39     0.59 146582220     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::find(unsigned long const&)
  0.47     89.97     0.58 559831723     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, jit_asm_instruction*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.47     90.55     0.58 125734291     0.00     0.00  parse_tip_type(unsigned char*)
  0.43     91.08     0.54 126953609     0.00     0.00  std::map<unsigned long, basic_block*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::begin()
  0.43     91.61     0.53 279880093     0.00     0.00  std::_Optional_payload_base<pt_instruction>::_Storage<pt_instruction, true>::_Storage<pt_instruction>(std::in_place_t, pt_instruction&&)
  0.42     92.14     0.53 279880093     0.00     0.00  std::_Optional_base_impl<pt_instruction, std::_Optional_base<pt_instruction, true, true> >::_M_get()
  0.42     92.66     0.52 523520604     0.00     0.00  std::_Optional_base_impl<unsigned char, std::_Optional_base<unsigned char, true, true> >::_M_get()
  0.41     93.17     0.51 785885210     0.00     0.00  std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >::operator()(std::pair<unsigned long const, jit_asm_instruction*> const&) const
  0.41     93.67     0.51 420120263     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<unsigned long const, basic_block*> > const&, std::_Rb_tree_iterator<std::pair<unsigned long const, basic_block*> > const&)
  0.41     94.18     0.51 279884721     0.00     0.00  std::map<unsigned long, jit_asm_instruction*, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::end()
  0.40     94.67     0.49 180752962     0.00     0.00  std::equal_to<unsigned long>::operator()(unsigned long const&, unsigned long const&) const
  0.39     95.15     0.48 279880093     0.00     0.00  std::optional<pt_instruction>::operator bool() const
  0.38     95.62     0.47 279880093     0.00     0.00  pt_instruction::pt_instruction(pt_instruction_type, bool, unsigned long, unsigned long, bool)
  0.37     96.08     0.46 215655301     0.00     0.00  std::optional<pt_packet>::operator*() &
  0.36     96.52     0.44    20767     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.35     96.95     0.43 279894090     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<unsigned long const, jit_asm_instruction*> > const&, std::_Rb_tree_iterator<std::pair<unsigned long const, jit_asm_instruction*> > const&)
  0.35     97.38     0.43 279880094     0.00     0.00  std::_Rb_tree_iterator<std::pair<unsigned long const, jit_asm_instruction*> >::operator->() const
  0.35     97.81     0.43 279880093     0.00     0.00  jit_to_pt_instr_type(jit_asm_type)
  0.34     98.23     0.42     2213     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<unsigned long const, basic_block*> >*)
  0.32     98.64     0.40 279884720     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::lower_bound(unsigned long const&)
  0.32     99.03     0.40 583465773     0.00     0.00  std::bitset<47ul>::reference::~reference()
  0.31     99.42     0.39 523520604     0.00     0.00  std::optional<unsigned char>::operator*() &
  0.31     99.80     0.38 146582220     0.00     0.00  update_current_ip(unsigned long&, unsigned long, unsigned long, bool&, bool)
  0.30    100.17     0.37 215656301     0.00     0.00  __get_bytes(unsigned char*, unsigned char)
  0.30    100.53     0.37 146582220     0.00     0.00  ip_inside_block(unsigned long)
  0.30    100.91     0.37        1     0.37     0.37  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<unsigned long const, basic_block*> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<unsigned long const, basic_block*> >*&, std::_Rb_tree_node_base*&)
  0.29    101.26     0.35 180773126     0.00     0.00  std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(unsigned long const&) const
  0.28    101.61     0.34 173473397     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<unsigned long const, basic_block*> >::_M_ptr()
  0.27    101.94     0.34 279880093     0.00     0.00  std::_Optional_payload_base<pt_instruction>::_Optional_payload_base<pt_instruction>(std::in_place_t, pt_instruction&&)
  0.27    102.28     0.34 180752962     0.00     0.00  std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(unsigned long const&, unsigned long, std::__detail::_Hash_node_value<std::pair<unsigned long const, unsigned long>, false> const&) const
  0.26    102.61     0.33 354297661     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::end()
  0.26    102.93     0.32 215655301     0.00     0.00  std::_Optional_payload_base<pt_packet>::_Storage<pt_packet, true>::_Storage<pt_packet>(std::in_place_t, pt_packet&&)
  0.26    103.25     0.32 146584460     0.00     0.00  std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, unsigned long>, std::allocator<std::pair<unsigned long const, unsigned long> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](unsigned long const&)
  0.25    103.56     0.31 215655301     0.00     0.00  std::_Optional_base<pt_packet, true, true>::_Optional_base<pt_packet, false>(std::in_place_t, pt_packet&&)
  0.23    103.85     0.29 215655301     0.00     0.00  std::optional<pt_packet>::optional<pt_packet, true>(pt_packet&&)
  0.23    104.14     0.29 214941628     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<unsigned long const, unsigned long> >::_M_valptr() const
  0.23    104.42     0.28 215655801     0.00     0.00  __advance(unsigned char)
  0.22    104.69     0.27 349208909     0.00     0.00  std::optional<tnt_packet_data>::operator*() &
  0.21    104.95     0.27 215655301     0.00     0.00  std::_Optional_base_impl<pt_packet, std::_Optional_base<pt_packet, true, true> >::_M_get()
  0.21    105.22     0.26 279911177     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_M_mbegin() const
  0.21    105.47     0.26 279880093     0.00     0.00  std::_Optional_base_impl<pt_instruction, std::_Optional_base<pt_instruction, true, true> >::_M_is_engaged() const
  0.21    105.73     0.26 215655301     0.00     0.00  std::_Optional_payload<pt_packet, true, true, true>::_Optional_payload_base<pt_packet>(std::in_place_t, pt_packet&&)
  0.21    105.99     0.26 359686008     0.00     0.00  tnt_packet_data& std::forward<tnt_packet_data&>(std::remove_reference<tnt_packet_data&>::type&)
  0.20    106.24     0.25 279884721     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::end()
  0.20    106.49     0.25 279880093     0.00     0.00  std::_Optional_payload<pt_instruction, true, true, true>::_Optional_payload_base<pt_instruction>(std::in_place_t, pt_instruction&&)
  0.20    106.74     0.25 273538044     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, basic_block*>, std::_Select1st<std::pair<unsigned long const, basic_block*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, basic_block*> > >::_M_mbegin() const
  0.20    106.99     0.25 214941628     0.00     0.00  decltype ((get<0>)((forward<std::pair<unsigned long const, unsigned long> const&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<unsigned long const, unsigned long> const&>(std::pair<unsigned long const, unsigned long> const&) const
  0.20    107.24     0.25 95833410     0.00     0.00  parse_psb()
  0.20    107.48     0.24 279937632     0.00     0.00  std::_Rb_tree<unsigned long, std::pair<unsigned long const, jit_asm_instruction*>, std::_Select1st<std::pair<unsigned long const, jit_asm_instruction*> >, std::less<unsigned long>, std::allocator<std::pair<unsigned long const, jit_asm_instruction*> > >::_M_end()
  0.19    107.72     0.24 214941628     0.00     0.00  std::tuple_element<0ul, std::pair<unsigned long const, unsigned long> >::type const& std::get<0ul, unsigned long const, unsigned long>(std::pair<unsigned long const, unsigned long> const&)
  0.19    107.97     0.24 194186460     0.00     0.00  std::optional<tnt_packet_data>::operator bool() const
